Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2018-07-03,가비아,079940,-,-,156300,1241
2018-07-03,가온미디어,078890,37300,400,1299188,9523
2018-07-03,감마누,192410,800,800,542177,3345
2018-07-03,갑을메탈,024840,-,-,844973,1960
2018-07-03,강스템바이오텍,217730,2000,-,1106372,12336
2018-07-03,갤럭시아컴즈,094480,15200,656,434911,1635
2018-07-03,게임빌,063080,4533,5254,586825,29341
2018-07-03,경남스틸,039240,-,-,339300,674
2018-07-03,경남제약,053950,-,-,613071,10545
2018-07-03,경동제약,011040,172,-,237703,2888
2018-07-03,경창산업,024910,-,-,740384,1555
2018-07-03,고려시멘트,198440,6,-,165227,525
2018-07-03,고려신용정보,049720,-,-,252314,864
2018-07-03,고려제약,014570,-,-,118151,857
2018-07-03,고영,098460,23763,18824,424887,42829
2018-07-03,골드퍼시픽,038530,-,-,27442,151
2018-07-03,골든센츄리,900280,-,-,1668256,1818
2018-07-03,골프존,215000,-,-,16464,693
2018-07-03,골프존뉴딘홀딩스,121440,26984,14608,1677802,7441
2018-07-03,광림,014200,-,-,1971522,5964
2018-07-03,광진실업,026910,-,-,185058,662
2018-07-03,광진윈텍,090150,-,-,106366,266
2018-07-03,구영테크,053270,-,8000,77696,183
2018-07-03,국보디자인,066620,-,-,130934,2488
2018-07-03,국순당,043650,-,-,791919,4506
2018-07-03,국영지앤엠,006050,-,-,1188719,2270
2018-07-03,국일신동,060480,-,-,82288,265
2018-07-03,국일제지,078130,-,-,4156351,5424
2018-07-03,국제엘렉트릭,053740,-,-,-,-
2018-07-03,그랜드백화점,019010,-,-,38145,534
2018-07-03,글로벌에스엠,900070,-,-,316428,389
2018-07-03,글로벌텍스프리,204620,-,-,388472,3166
2018-07-03,글로본,019660,732,-,277606,1330
2018-07-03,글로웍스,034600,-,-,-,-
2018-07-03,금강철강,053260,-,-,82156,313
2018-07-03,금화피에스시,036190,-,-,35302,1204
2018-07-03,기가레인,049080,-,-,1758288,4589
2018-07-03,기산텔레콤,035460,-,-,232404,640
2018-07-03,나노,187790,-,-,867723,1670
2018-07-03,나노스,151910,11200,5955,235485,1380
2018-07-03,나노신소재,121600,200,-,345838,6225
2018-07-03,나노엔텍,039860,-,-,364462,2023
2018-07-03,나노캠텍,091970,-,-,159728,1065
2018-07-03,나노트로닉스,010670,-,-,-,-
2018-07-03,나라엠앤디,051490,-,-,70446,428
2018-07-03,나무가,190510,-,-,175149,2951
2018-07-03,나스미디어,089600,69239,11784,275969,15427
2018-07-03,나이벡,138610,4184,15556,198131,2922
2018-07-03,나이스디앤비,130580,-,-,72770,659
2018-07-03,나이스정보통신,036800,-,-,109550,2750
2018-07-03,남화토건,091590,-,-,206535,2065
2018-07-03,내츄럴엔도텍,168330,53387,12201,3256124,75868
2018-07-03,네오디안테크놀로지,072770,-,-,649183,1220
2018-07-03,네오오토,212560,-,-,41933,187
2018-07-03,네오위즈,095660,20000,97124,1589339,26304
2018-07-03,네오위즈홀딩스,042420,-,-,77532,1113
2018-07-03,네오티스,085910,-,-,205316,806
2018-07-03,네오팜,092730,-,-,163893,9227
2018-07-03,네오퍼플,028090,-,-,-,-
2018-07-03,네이블,153460,-,-,68053,399
2018-07-03,네이처셀,007390,67863,113434,7281520,113592
2018-07-03,네패스,033640,163220,695,3476196,51448
2018-07-03,네패스신소재,087730,-,-,59378,1939
2018-07-03,넥스지,081970,-,-,71637,749
2018-07-03,넥스콘테크,038990,-,-,-,-
2018-07-03,넥스턴,089140,2228,-,248807,3471
2018-07-03,넥스트BT,065170,-,-,1452984,3415
2018-07-03,넥스트리밍,139670,-,-,46300,159
2018-07-03,넥스트아이,137940,-,-,3423341,8695
2018-07-03,넥스트칩,092600,54041,-,215541,1617
2018-07-03,넥슨지티,041140,18423,11728,1269601,9877
2018-07-03,넵튠,217270,-,-,419107,4061
2018-07-03,넷게임즈,225570,-,-,164926,2029
2018-07-03,녹십자랩셀,144510,7279,6510,361955,15962
2018-07-03,녹십자셀,031390,3192,2223,300925,10412
2018-07-03,녹십자엠에스,142280,-,-,90259,900
2018-07-03,녹원씨엔아이,065560,-,-,207667,2295
2018-07-03,농우바이오,054050,15000,-,513067,8132
2018-07-03,누리텔레콤,040160,-,-,321852,2755
2018-07-03,누리플랜,069140,-,-,46580,252
2018-07-03,뉴로스,126870,-,-,564210,3594
2018-07-03,뉴보텍,060260,-,-,924421,1585
2018-07-03,뉴인텍,012340,20000,2605,1227126,1288
2018-07-03,뉴트리바이오텍,222040,8005,39993,1433848,30398
2018-07-03,뉴파워프라즈마,144960,-,-,92800,1847
2018-07-03,뉴프라이드,900100,10000,-,3292497,10124
2018-07-03,뉴프렉스,085670,-,-,498993,1562
2018-07-03,다나와,119860,-,-,315666,4861
2018-07-03,다날,064260,2947,2947,1928728,8863
2018-07-03,다믈멀티미디어,093640,-,-,138623,905
