Date,종목명,종목코드,체결(주수),상환(주수),잔고 주수,잔고 금액
2017-09-08,가온전선,000500,-,-,52202,1222
2017-09-08,강남제비스코,000860,-,-,59291,2253
2017-09-08,강원랜드,035250,58179,62044,6593520,233081
2017-09-08,갤럭시아에스엠,011420,-,-,112913,357
2017-09-08,경남기업,000800,-,-,-,-
2017-09-08,경남에너지,008020,-,-,-,-
2017-09-08,경남은행,192520,-,-,-,-
2017-09-08,경농,002100,-,-,171411,1011
2017-09-08,경동나비엔,009450,-,-,296907,10095
2017-09-08,경동도시가스,267290,-,-,15869,833
2017-09-08,경동인베스트,012320,-,-,23729,1251
2017-09-08,경방,000050,2020,900,566772,8190
2017-09-08,경보제약,214390,92,-,302677,3693
2017-09-08,경인양행,012610,4000,-,1028548,4186
2017-09-08,경인전자,009140,-,-,56,1
2017-09-08,계룡건설,013580,-,-,87505,1566
2017-09-08,계양전기,012200,-,-,927702,4541
2017-09-08,고려개발,004200,-,-,233298,1411
2017-09-08,고려산업,002140,2000,2089,677935,2268
2017-09-08,고려아연,010130,5273,29987,445320,233348
2017-09-08,고려제강,002240,671,1179,97335,3577
2017-09-08,골든브릿지증권,001290,-,-,21382,30
2017-09-08,광동제약,009290,8750,6979,604746,5201
2017-09-08,광명전기,017040,-,10968,1886319,4820
2017-09-08,광전자,017900,-,13786,952069,2809
2017-09-08,광주신세계,037710,-,-,17749,4357
2017-09-08,광주은행,192530,3178,-,242885,3000
2017-09-08,교보증권,030610,-,-,143774,1323
2017-09-08,국도화학,007690,-,494,106205,5363
2017-09-08,국동,005320,-,-,163414,642
2017-09-08,국보,001140,8000,44,18516,200
2017-09-08,국제약품,002720,-,-,135255,523
2017-09-08,그린케미칼,083420,-,-,93067,419
2017-09-08,극동유화,014530,-,-,303783,1018
2017-09-08,금강공업,014280,-,-,58189,1888
2017-09-08,금비,008870,-,-,50,4
2017-09-08,금양,001570,-,12660,548094,1225
2017-09-08,금호산업,002990,57,-,686941,5853
2017-09-08,금호산업우,002995,-,-,60,1
2017-09-08,금호석유,011780,55449,90830,2853246,224550
2017-09-08,금호석유우,011785,-,-,64328,1930
2017-09-08,금호에이치티,214330,-,-,85068,483
2017-09-08,금호전기,001210,-,-,157437,1348
2017-09-08,금호타이어,073240,135327,32710,25811561,139899
2017-09-08,기신정기,092440,-,-,730547,3529
2017-09-08,기아차,000270,108945,166926,12599403,403181
2017-09-08,기업은행,024110,330709,44289,18512641,264731
2017-09-08,까뮤이앤씨,013700,-,-,803,8
2017-09-08,깨끗한나라,004540,-,-,505774,2241
2017-09-08,나노메딕스,074610,-,-,150327,561
2017-09-08,남광토건,001260,-,-,67774,453
2017-09-08,남선알미늄,008350,-,-,3355393,3909
2017-09-08,남성,004270,-,-,333799,674
2017-09-08,남양유업,003920,661,56,12593,8286
2017-09-08,남영비비안,002070,-,-,188,2
2017-09-08,남해화학,025860,2440,1602,739838,6725
2017-09-08,넥센,005720,2434,5236,171349,1455
2017-09-08,넥센우,005725,-,-,10000,52
2017-09-08,넥센타이어,002350,15114,2454,666033,8658
2017-09-08,넥센타이어1우B,002355,-,-,5600,34
2017-09-08,넥솔론,110570,-,-,-,-
2017-09-08,넥스트사이언스,003580,14150,1415,13770,62
2017-09-08,넷마블,251270,103902,208883,2901834,436726
2017-09-08,노루페인트,090350,696,-,357374,3170
2017-09-08,노루홀딩스,000320,-,3318,77623,1378
2017-09-08,녹십자,006280,926,622,132350,24419
2017-09-08,녹십자홀딩스,005250,4252,16494,716998,24987
2017-09-08,녹십자홀딩스2우,005257,-,-,20000,495
2017-09-08,농심,004370,19217,16088,102816,34855
2017-09-08,농심홀딩스,072710,-,282,54722,6211
2017-09-08,다스코,058730,-,-,98466,710
2017-09-08,다우기술,023590,29333,51863,1096603,20890
2017-09-08,대교,019680,3535,2718,968549,8136
2017-09-08,대교우B,019685,-,-,6744,34
2017-09-08,대구백화점,006370,-,2088,52210,629
2017-09-08,대덕GDS,004130,6260,4633,1037046,18615
2017-09-08,대덕전자,008060,5430,85248,1513566,17936
2017-09-08,대동공업,000490,-,-,399665,2830
2017-09-08,대동전자,008110,-,-,305,1
2017-09-08,대림B&Co,005750,-,-,438587,3101
2017-09-08,대림산업,000210,4324,4025,1219984,101503
2017-09-08,대림산업우,000215,-,-,63198,2165
2017-09-08,대림씨엔에스,004440,25,-,24940,389
2017-09-08,대림통상,006570,-,-,31312,164
2017-09-08,대상,001680,194762,87841,1291402,29831
2017-09-08,대상우,001685,-,-,17458,216
2017-09-08,대상홀딩스,084690,-,-,286813,2736
2017-09-08,대성산업,128820,-,-,344063,1032
2017-09-08,대성에너지,117580,-,-,390544,2390
2017-09-08,대성합동지주,005620,-,-,-,-
2017-09-08,대성홀딩스,016710,-,-,230235,1962
2017-09-08,대신증권,003540,841,-,1022093,14360
2017-09-08,대신증권2우B,003547,-,-,11000,97
2017-09-08,대신증권우,003545,-,1245,180906,1706
2017-09-08,대양금속,009190,-,-,56426,225
2017-09-08,대영포장,014160,-,-,5784671,4848
2017-09-08,대우2791금호석유콜,522791,-,-,-,-
2017-09-08,대우건설,047040,310453,705422,12590443,88259
2017-09-08,대우부품,009320,-,-,539085,892
2017-09-08,대우송도개발,004550,-,-,-,-
2017-09-08,대우조선해양,042660,-,-,1309140,58649
2017-09-08,대웅,003090,2199,26350,590962,8510
2017-09-08,대웅제약,069620,6769,16840,523505,51670
2017-09-08,대원강업,000430,-,-,454281,1758
2017-09-08,대원전선,006340,-,500,1927067,2467
2017-09-08,대원전선우,006345,-,-,8190,23
2017-09-08,대원제약,003220,114,7327,231011,4297
2017-09-08,대원화성,024890,-,-,1399885,3374
2017-09-08,대유에이텍,002880,-,-,2602057,3135
2017-09-08,대유플러스,000300,-,-,1842821,1469
2017-09-08,대창,012800,-,-,1567028,1849
2017-09-08,대창단조,015230,-,-,33264,1896
2017-09-08,대한방직,001070,-,260,3724,328
2017-09-08,대한유화,006650,4897,254,270528,71690
2017-09-08,대한전선,001440,17340,-,16276256,21566
2017-09-08,대한제강,084010,-,-,469639,5706
2017-09-08,대한제당,001790,-,-,33567,896
2017-09-08,대한제분,001130,-,-,3203,575
2017-09-08,대한항공,003490,51019,58009,3546246,112593
2017-09-08,대한항공우,003495,-,-,4000,57
2017-09-08,대한해운,005880,46720,22000,948863,34159
2017-09-08,대한화섬,003830,-,-,45,5
2017-09-08,대현,016090,-,-,909920,2639
2017-09-08,대호에이엘,069460,-,18870,460945,680
2017-09-08,더존비즈온,012510,3000,16380,500022,16276
2017-09-08,덕성,004830,-,12688,376686,1448
2017-09-08,덕양산업,024900,-,-,346849,617
2017-09-08,덴티움,145720,-,-,113442,6466
2017-09-08,도레이케미칼,008000,-,-,531045,10010
2017-09-08,도화엔지니어링,002150,-,3498,208979,1162
2017-09-08,동국실업,001620,-,-,1491958,3006
2017-09-08,동국제강,001230,52110,75203,5972089,70769
2017-09-08,동남합성,023450,-,-,54,3
2017-09-08,동방,004140,-,18258,1135660,2033
2017-09-08,동방아그로,007590,-,-,9946,70
2017-09-08,동부건설,005960,-,218,127455,1593
2017-09-08,동부건설우,005965,-,-,3300,64
2017-09-08,동부제철,016380,-,98,466635,4512
2017-09-08,동부제철우,016385,-,-,10550,317
2017-09-08,동서,026960,88570,63015,2542910,67006
2017-09-08,동성제약,002210,-,-,440244,1677
2017-09-08,동성코퍼레이션,102260,1417,-,493036,2958
2017-09-08,동성화학,005190,-,-,261384,4365
2017-09-08,동아쏘시오홀딩스,000640,3222,11028,361545,41758
2017-09-08,동아에스티,170900,22523,14516,675634,54591
2017-09-08,동아지질,028100,-,-,175390,2113
2017-09-08,동양,001520,19969,13013,12205084,25326
2017-09-08,동양건설,005900,-,-,-,-
2017-09-08,동양고속,084670,-,-,12683,458
2017-09-08,동양네트웍스,030790,40200,10000,1177260,2296
2017-09-08,동양물산,002900,-,10196,3290114,6235
2017-09-08,동양생명,082640,446,-,385868,3284
2017-09-08,동양철관,008970,12582,-,4031066,5019
2017-09-08,동원F&B,049770,174,86,45010,8957
2017-09-08,동원금속,018500,-,-,124986,381
2017-09-08,동원산업,006040,27,24,21710,6220
2017-09-08,동원수산,030720,-,-,52722,514
2017-09-08,동원시스템즈,014820,608,4415,489944,26604
2017-09-08,동일고무벨트,163560,-,-,165979,1560
2017-09-08,동일방직,001530,-,-,21981,1279
2017-09-08,동일산업,004890,-,-,31482,2134
2017-09-08,동일제강,002690,-,-,11522,47
2017-09-08,동화약품,000020,183,-,281839,2455
2017-09-08,두산,000150,3757,12959,483013,60860
2017-09-08,두산건설,011160,-,-,791313,2580
2017-09-08,두산밥캣,241560,334,876,1361405,49759
2017-09-08,두산우,000155,-,-,43686,3381
2017-09-08,두산인프라코어,042670,2527355,908184,61804541,514832
2017-09-08,두산중공업,034020,185243,273707,15557819,263705
2017-09-08,두올,016740,-,-,109279,659
2017-09-08,디씨엠,024090,-,-,154019,1948
2017-09-08,디아이,003160,-,4824,1035584,5152
2017-09-08,디아이씨,092200,1242,126,1753115,17110
2017-09-08,디와이,013570,649,1830,404837,3069
2017-09-08,디와이파워,210540,-,-,193122,4278
2017-09-08,디티알오토모티브,007340,976,641,209683,5064
2017-09-08,디피씨,026890,-,6416,1217825,4932
2017-09-08,락앤락,115390,2691,24597,997227,16404
2017-09-08,로케트전기,000420,-,-,-,-
2017-09-08,롯데관광개발,032350,6829,6829,93461,724
2017-09-08,롯데미도파,004010,-,-,-,-
2017-09-08,롯데손해보험,000400,-,-,1348673,5415
2017-09-08,롯데쇼핑,023530,11157,1207,520284,118104
2017-09-08,롯데정밀화학,004000,2871,3191,821087,34321
2017-09-08,롯데지주,004990,5118,7765,284337,56441
2017-09-08,롯데칠성,005300,511,192,90577,136318
2017-09-08,롯데칠성우,005305,-,24,260,203
2017-09-08,롯데케미칼,011170,34678,35822,791681,319443
2017-09-08,롯데푸드,002270,832,537,23378,14190
2017-09-08,롯데하이마트,071840,670,4719,504120,33423
2017-09-08,마니커,027740,-,-,1603279,1130
2017-09-08,만도,204320,30776,4061,975870,223474
2017-09-08,만호제강,001080,-,-,149,3
2017-09-08,맥쿼리인프라,088980,5331501,-,12068744,100653
2017-09-08,맵스리얼티1,094800,-,-,239582,945
2017-09-08,메디플란트,015540,680,-,95735,937
2017-09-08,메리츠금융지주,138040,164,247,314655,4736
2017-09-08,메리츠종금증권,008560,251299,2009864,16447744,76482
2017-09-08,메리츠화재,000060,3284,614200,772637,18543
2017-09-08,메타랩스,090370,-,-,1236947,769
2017-09-08,명문제약,017180,-,-,1112236,6696
2017-09-08,모나리자,012690,2000,72690,792552,4105
2017-09-08,모나미,005360,-,-,574682,1850
2017-09-08,모두투어리츠,204210,-,-,30009,121
2017-09-08,모토닉,009680,34,-,257421,2317
2017-09-08,무림P&P,009580,112,-,647692,2817
2017-09-08,무림페이퍼,009200,-,-,633443,1656
2017-09-08,무학,033920,2140,1050,344013,6639
2017-09-08,문배철강,008420,-,-,87635,262
2017-09-08,미래산업,025560,-,-,25245097,6236
2017-09-08,미래아이앤지,007120,-,-,926183,574
2017-09-08,미래에셋 인버스 전기전자 Core5 ETN,520005,-,-,2520,13
2017-09-08,미래에셋 전기전자 Core5 ETN,520004,-,-,1070,19
2017-09-08,미래에셋대우,006800,280597,81208,18335331,180970
2017-09-08,미래에셋대우우,006805,-,-,26012,167
2017-09-08,미래에셋생명,085620,-,-,608447,3067
2017-09-08,미래에셋증권,037620,-,-,-,-
2017-09-08,미원상사,002840,-,-,27,6
2017-09-08,미원에스씨,268280,-,-,8455,482
2017-09-08,미원홀딩스,107590,-,-,12184,714
2017-09-08,미원화학,134380,-,-,5587,334
2017-09-08,미창석유,003650,-,-,7728,688
2017-09-08,방림,003610,-,-,34913,709
2017-09-08,배명금속,011800,-,-,-,-
2017-09-08,백광산업,001340,-,-,761023,1903
2017-09-08,백광소재,014580,-,-,120034,326
2017-09-08,백산,035150,-,1553,793706,6072
2017-09-08,범양건영,002410,-,-,28630,319
2017-09-08,벽산,007210,-,-,5009772,16908
2017-09-08,벽산건설,002530,-,-,-,-
2017-09-08,보락,002760,-,-,303729,311
2017-09-08,보령제약,003850,470,306,259703,10401
2017-09-08,보루네오,004740,-,-,-,-
2017-09-08,보해양조,000890,-,-,5968430,5968
2017-09-08,봉신,005350,-,-,-,-
2017-09-08,부광약품,003000,136983,97826,2469769,52112
2017-09-08,부국증권,001270,-,-,28212,781
2017-09-08,부국증권우,001275,-,-,4000,91
2017-09-08,부국철강,026940,-,-,112615,324
2017-09-08,부산가스,015350,-,-,1753,65
2017-09-08,부산산업,011390,-,-,1835,71
2017-09-08,부산주공,005030,-,-,310303,501
2017-09-08,비상교육,100220,-,-,207768,2535
2017-09-08,빙그레,005180,2439,8378,308442,18106
2017-09-08,사조대림,003960,-,-,17804,451
2017-09-08,사조동아원,008040,-,408,592264,986
2017-09-08,사조산업,007160,-,278,107233,7592
2017-09-08,사조씨푸드,014710,2000,-,294107,2009
2017-09-08,사조오양,006090,-,-,93080,1280
2017-09-08,사조해표,079660,-,-,62473,715
2017-09-08,삼광글라스,005090,-,48,270869,13476
2017-09-08,삼부토건,001470,-,-,299145,2579
2017-09-08,삼성SDI,006400,25865,50061,1851667,356446
2017-09-08,삼성SDI우,006405,-,-,26493,2289
2017-09-08,삼성공조,006660,-,-,144003,1822
2017-09-08,삼성물산,028260,70466,14125,5756379,736817
2017-09-08,삼성물산,000830,-,-,-,-
