Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-07-12,060310,3S KOREA,Stock certificates,0,0,0,"147,540",0.00,0,0,0,"383,632,365",0.00
2018-07-12,054620,APS Holdings,Stock certificates,"3,180",0,0,"116,538",2.73,"16,972,020",0,0,"618,623,790",2.74
2018-07-12,265520,AP Systems,Stock certificates,"10,439",0,0,"111,769",9.34,"219,746,250",0,0,"2,358,446,800",9.32
2018-07-12,211270,APSI,Stock certificates,0,0,0,"19,511",0.00,0,0,0,"158,630,680",0.00
2018-07-12,032040,C&S ASSET MANAGEMENT,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-07-12,130960,CJ E&M,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-07-12,035760,CJOS,Stock certificates,"5,898",0,0,"44,579",13.23,"1,653,934,200",0,0,"12,381,972,700",13.36
2018-07-12,051500,CJ FW,Stock certificates,189,0,0,"21,583",0.88,"6,218,100",0,0,"697,560,250",0.89
2018-07-12,058820,CMG Pharmaceutical,Stock certificates,"109,067",0,0,"1,881,946",5.80,"528,576,190",0,0,"9,052,875,090",5.84
2018-07-12,023460,CNH,Stock certificates,0,0,0,"22,029",0.00,0,0,0,"29,446,285",0.00
2018-07-12,065770,CS,Stock certificates,0,0,0,"47,610",0.00,0,0,0,"109,657,655",0.00
2018-07-12,083660,CSA Cosmic,Stock certificates,"7,152",0,0,"224,690",3.18,"73,767,600",0,0,"2,286,161,360",3.23
2018-07-12,045890,DB Lightec,Stock certificates,0,0,0,"48,979",0.00,0,0,0,"84,607,785",0.00
2018-07-12,068790,DMS,Stock certificates,899,0,0,"45,525",1.97,"5,698,860",0,0,"289,392,750",1.97
2018-07-12,241520,DSC Investment,Stock certificates,517,0,0,"629,427",0.08,"2,629,670",0,0,"3,129,721,045",0.08
2018-07-12,245620,EDGC,Stock certificates,0,0,0,"1,321,650",0.00,0,0,0,"9,039,705,090",0.00
2018-07-12,037370,EG,Stock certificates,2,0,0,"17,192",0.01,"17,480",0,0,"149,104,690",0.01
2018-07-12,079190,EMW,Stock certificates,680,0,0,"456,131",0.15,"2,135,675",0,0,"1,426,846,010",0.15
2018-07-12,130500,GH Advanced Materials,Stock certificates,0,0,0,"26,512",0.00,0,0,0,"92,500,225",0.00
2018-07-12,032860,GMR Materials,Stock certificates,314,0,0,"1,843,908",0.02,"223,568",0,0,"1,359,129,097",0.02
2018-07-12,900290,GRT,Foreign stock certificates,"100,140",0,0,"212,459",47.13,"251,219,395",0,0,"532,365,310",47.19
2018-07-12,083450,GST,Stock certificates,0,0,0,"18,993",0.00,0,0,0,"138,380,180",0.00
2018-07-12,028150,GSHS,Stock certificates,"1,219",0,0,"14,890",8.19,"226,826,700",0,0,"2,770,161,400",8.19
2018-07-12,078150,HB Technology,Stock certificates,"261,896",0,0,"5,178,307",5.06,"646,560,540",0,0,"12,806,110,080",5.05
2018-07-12,036640,HRS,Stock certificates,48,0,0,"33,961",0.14,"174,320",0,0,"123,450,320",0.14
2018-07-12,225430,IBKS No.3 SPAC,Stock certificates,0,0,0,"309,707",0.00,0,0,0,"1,189,333,700",0.00
2018-07-12,254120,IBKS No.5 SPAC,Stock certificates,0,0,0,"7,115",0.00,0,0,0,"15,297,030",0.00
2018-07-12,264850,IBKS No.6 SPAC,Stock certificates,0,0,0,0,0.00,0,0,0,0,0.00
2018-07-12,276920,IBKS No.7 SPAC,Stock certificates,0,0,0,"3,554",0.00,0,0,0,"7,894,620",0.00
2018-07-12,277410,IBKS No.8 SPAC,Stock certificates,0,0,0,"18,900",0.00,0,0,0,"71,332,320",0.00
2018-07-12,095340,ISC,Stock certificates,0,0,0,"39,681",0.00,0,0,0,"641,615,800",0.00
2018-07-12,099520,ITX-M2M,Stock certificates,0,0,0,"16,679",0.00,0,0,0,"21,697,175",0.00
2018-07-12,950170,JTC,Depository receipts,0,0,0,"668,024",0.00,0,0,0,"8,609,800,150",0.00
2018-07-12,067290,JW SHINYAK,Stock certificates,650,0,0,"277,336",0.23,"5,160,220",0,0,"2,188,597,320",0.24
2018-07-12,035900,JYP Ent.,Stock certificates,875,0,0,"549,718",0.16,"22,348,000",0,0,"14,080,540,850",0.16
2018-07-12,024120,KBA,Stock certificates,0,0,0,"2,387",0.00,0,0,0,"15,325,240",0.00
2018-07-12,021320,KCC,Stock certificates,175,0,0,"80,199",0.22,"1,523,360",0,0,"698,765,300",0.22
2018-07-12,036670,KCI,Stock certificates,47,0,0,"102,171",0.05,"484,100",0,0,"1,044,986,050",0.05
2018-07-12,044180,KD E&C,Stock certificates,"7,531",0,0,"2,835,949",0.27,"986,561",0,0,"372,800,668",0.26
2018-07-12,151860,KG ETS,Stock certificates,"1,210",0,0,"111,808",1.08,"4,669,045",0,0,"432,295,550",1.08
2018-07-12,046440,KGMBLS,Stock certificates,"3,756",0,0,"57,847",6.49,"35,113,360",0,0,"540,867,200",6.49
2018-07-12,035600,KGINICIS,Stock certificates,"15,500",0,0,"247,676",6.26,"319,204,400",0,0,"5,152,139,100",6.20
2018-07-12,060720,KH VATEC,Stock certificates,23,0,0,"91,583",0.03,"215,670",0,0,"859,280,840",0.03
2018-07-12,083470,KJ Pretech,Stock certificates,0,0,0,"181,531",0.00,0,0,0,"214,172,635",0.00
