Date,Issue code,Issue name,Securities type,Quantity short-selling volume total,Quantity short-selling volume with uptick rule,Quantity short-selling volume without uptick rule,Quantity trading volume,Quantity proportion,Amount short-selling volume total,Amount short-selling volume with uptick rule,Amount short-selling volume without uptick rule,Amount trading volume,Amount proportion
2018-12-14,095570,AJ Networks,Stock certificates,16,0,0,"74,357",0.02,"71,600",0,0,"332,709,765",0.02
2018-12-14,068400,AJ RENT A CAR,Stock certificates,0,0,0,"112,488",0.00,0,0,0,"1,411,684,050",0.00
2018-12-14,006840,AK Holdings,Stock certificates,968,0,0,"17,322",5.59,"54,009,100",0,0,"968,395,400",5.58
2018-12-14,027410,BGF,Stock certificates,"4,994",0,0,"99,538",5.02,"41,471,390",0,0,"826,891,940",5.02
2018-12-14,282330,BGF Retail,Stock certificates,"3,506",0,0,"24,753",14.16,"706,626,000",0,0,"5,025,484,500",14.06
2018-12-14,138930,BNK Financial Group,Stock certificates,"8,365",0,0,"971,598",0.86,"63,079,090",0,0,"7,334,301,450",0.86
2018-12-14,001460,BYC,Stock certificates,0,0,0,52,0.00,0,0,0,"12,562,000",0.00
2018-12-14,001465,BYC(1P),Stock certificates,0,0,0,67,0.00,0,0,0,"7,264,500",0.00
2018-12-14,001040,CJ,Stock certificates,"1,401",0,0,"53,690",2.61,"180,782,000",0,0,"6,928,726,000",2.61
2018-12-14,079160,CJ CGV,Stock certificates,"17,216",0,0,"124,176",13.86,"725,800,450",0,0,"5,212,139,950",13.93
2018-12-14,000120,CJ LOGISTICS,Stock certificates,663,0,0,"40,571",1.63,"110,819,500",0,0,"6,755,873,000",1.64
2018-12-14,011150,CJSEAFOOD,Stock certificates,0,0,0,"50,079",0.00,0,0,0,"120,120,665",0.00
2018-12-14,011155,CJSEAFOOD(1P),Stock certificates,0,0,0,387,0.00,0,0,0,"10,977,850",0.00
2018-12-14,001045,CJ(1P),Stock certificates,0,0,0,630,0.00,0,0,0,"35,316,000",0.00
2018-12-14,097950,CJ CheilJedang,Stock certificates,"1,036",0,0,"19,788",5.24,"360,010,500",0,0,"6,858,628,500",5.25
