Date,Issue code,Issue name,Quantity Net short position,Quantity No.of listed shares,Amount Net short position,Amount Market cap,Proportion
2023-08-01,366030,09WOMEN,0,"22,618,350",0,"161,947,386,000",0.00
2023-08-01,159580,0TO7,0,"20,032,636",0,"111,581,782,520",0.00
2023-08-01,060310,3S KOREA,"59,227","48,536,642","151,621,120","124,253,803,520",0.12
2023-08-01,389140,4by4,0,"10,999,235",0,"127,041,164,250",0.00
2023-08-01,262260,A Pro,0,"14,461,554",0,"266,815,671,300",0.00
2023-08-01,013310,A-JIN INDUSTRY,"100,856","38,806,582","673,718,080","259,227,967,760",0.26
2023-08-01,071670,A-Tech,"37,261","10,000,000","415,087,540","111,400,000,000",0.37
2023-08-01,036010,ABEL,0,"13,292,934",0,"218,004,117,600",0.00
2023-08-01,129890,ABKO,0,"10,128,682",0,"37,526,766,810",0.00
2023-08-01,298380,ABL Bio,"1,472,475","47,852,539","28,404,042,750","923,075,477,310",3.08
2023-08-01,203400,ABN,0,"19,374,181",0,"133,681,848,900",0.00
2023-08-01,102120,ABOV,"21,890","17,780,753","220,213,400","178,874,375,180",0.12
2023-08-01,052790,ACTOZ SOFT,0,"11,330,638",0,"67,190,683,340",0.00
2023-08-01,179530,ADBIOTECH,0,"9,140,444",0,"29,843,549,660",0.00
2023-08-01,054630,ADChips,0,"79,709,461",0,"30,767,851,946",0.00
2023-08-01,187660,ADM Korea,0,"21,836,250",0,"50,660,100,000",0.00
2023-08-01,200710,ADTechnology,0,"13,427,069",0,"331,648,604,300",0.00
2023-08-01,312610,AFW,0,"20,256,888",0,"84,268,654,080",0.00
2023-08-01,013990,AGABANG&CO,"82,001","32,887,536","251,743,070","100,964,735,520",0.25
2023-08-01,001540,AHN-GOOK PHA,"21,182","13,042,420","172,633,300","106,295,723,000",0.16
2023-08-01,053800,AHNLAB,"209,544","10,013,855","13,347,952,800","637,882,563,500",2.09
2023-08-01,230980,AIIT ONE,0,"83,448,078",0,"86,702,553,042",0.00
2023-08-01,059120,AJINEXTEK,"14,888","9,748,596","136,225,200","89,199,653,400",0.15
2023-08-01,027360,AJU IB INVESTMENT,"748,052","120,822,956","1,660,675,440","268,226,962,320",0.62
2023-08-01,354320,ALMAC,0,"5,966,381",0,"520,268,423,200",0.00
2023-08-01,297570,ALOYS,0,"34,621,218",0,"52,693,493,796",0.00
2023-08-01,172670,ALT,0,"8,489,671",0,"206,723,488,850",0.00
2023-08-01,074430,AMINOLOGICS,"88,423","87,826,844","130,070,233","129,193,287,524",0.10
2023-08-01,125210,AMOGREENTECH,0,"16,496,790",0,"250,751,208,000",0.00
2023-08-01,123860,ANAPASS,"7,043","11,729,919","161,989,000","269,788,137,000",0.06
2023-08-01,310200,ANIPLUS,0,"45,186,656",0,"164,253,494,560",0.00
2023-08-01,121600,ANP,"282,910","11,707,348","44,218,833,000","1,829,858,492,400",2.42
2023-08-01,065660,ANTEROGEN,0,"9,731,373",0,"144,510,889,050",0.00
2023-08-01,265520,AP Systems,"5,000","15,281,421","101,000,000","308,684,704,200",0.03
2023-08-01,200470,APACT,0,"42,362,093",0,"153,774,397,590",0.00
2023-08-01,054620,APS,"55,901","20,394,221","480,189,590","175,186,358,390",0.27
2023-08-01,211270,APSI,0,"15,082,304",0,"186,869,746,560",0.00
2023-08-01,089970,APTC,"11,191","23,980,595","193,828,120","415,343,905,400",0.05
2023-08-01,058220,ARION,0,"38,974,244",0,"10,717,917,100",0.00
2023-08-01,159010,ASFLOW,0,"13,334,739",0,"187,219,735,560",0.00
2023-08-01,127710,ASIA BUSINESS DAILY,0,"34,904,082",0,"46,352,620,896",0.00
2023-08-01,154030,ASIA SEED,0,"11,120,839",0,"38,589,311,330",0.00
2023-08-01,050860,ASIA TECHNOLOGY,0,"22,500,000",0,"58,837,500,000",0.00
2023-08-01,136410,ASSEMS,0,"11,019,106",0,"91,238,197,680",0.00
2023-08-01,246720,ASTA,0,"12,904,025",0,"114,716,782,250",0.00
2023-08-01,067390,ASTK,0,"42,289,877",0,"71,512,182,007",0.00
2023-08-01,241840,ASTORY,0,"9,539,994",0,"143,672,309,640",0.00
2023-08-01,089530,AT semicon,0,"72,278,403",0,"43,367,041,800",0.00
2023-08-01,045660,ATEC,"21,766","8,260,000","204,382,740","77,561,400,000",0.26
2023-08-01,224110,ATEC MOBILITY,0,"5,340,000",0,"70,968,600,000",0.00
2023-08-01,158430,ATON,0,"4,363,577",0,"83,475,228,010",0.00
2023-08-01,039830,AURORA,0,"10,762,890",0,"77,492,808,000",0.00
2023-08-01,322310,AUROSTECH,0,"9,366,542",0,"247,745,035,900",0.00
2023-08-01,031510,AUSTEM,"99,057","28,000,000","146,109,075","41,300,000,000",0.35
2023-08-01,353590,AUTO&,0,"12,875,570",0,"122,189,159,300",0.00
2023-08-01,083930,AVACO,"40,418","15,412,798","701,656,480","267,566,173,280",0.26
2023-08-01,149950,AVATEC,"7,643","15,607,500","110,059,200","224,748,000,000",0.05
2023-08-01,356680,AXGATE,0,"27,136,485",0,"109,088,669,700",0.00
2023-08-01,032080,AZTECHWB,0,"21,491,029",0,"35,911,509,459",0.00
2023-08-01,174900,AbClon,"24,055","15,352,069","406,288,950","259,296,445,410",0.16
2023-08-01,195990,Abpro Bio,"592,325","277,289,721","238,114,650","111,470,467,842",0.21
2023-08-01,950130,Access Bio,0,"36,315,527",0,"299,239,942,480",0.00
2023-08-01,088800,Ace Technologies,"671,106","44,926,073","1,956,273,990","130,959,502,795",1.49
2023-08-01,003800,AceBed,0,"11,090,000",0,"286,676,500,000",0.00
2023-08-01,290740,ActRo,0,"10,065,011",0,"71,461,578,100",0.00
2023-08-01,205500,Action Square,0,"46,546,058",0,"98,212,182,380",0.00
2023-08-01,067160,AfreecaTV,"172,867","11,494,767","14,762,841,800","981,653,101,800",1.50
2023-08-01,347860,Alchera,0,"21,550,372",0,"322,609,068,840",0.00
2023-08-01,238120,Aligned,0,"7,189,448",0,"60,894,624,560",0.00
2023-08-01,117670,Alpha Holdings,0,"36,488,483",0,"34,481,616,435",0.00
2023-08-01,196170,Alteogen,"1,638,960","51,703,106","72,196,188,000","2,277,521,819,300",3.17
2023-08-01,085810,Alticast,0,"29,685,769",0,"47,319,115,786",0.00
2023-08-01,123750,Alton Sports,0,"12,746,297",0,"46,269,058,110",0.00
2023-08-01,900100,Ameridge,0,"36,560,493",0,"84,089,133,900",0.00
2023-08-01,092040,Amicogen,"334,798","19,754,708","6,053,147,840","357,165,120,640",1.69
2023-08-01,357580,Amosense,0,"11,200,076",0,"166,209,127,840",0.00
2023-08-01,052710,Amotech,0,"14,615,109",0,"151,997,133,600",0.00
2023-08-01,025980,Ananti,"4,563,954","87,629,522","30,395,933,640","583,612,616,520",5.21
2023-08-01,196300,AnyGen,"8,435","5,602,556","132,935,600","88,296,282,560",0.15
2023-08-01,397030,AprilBio,0,"10,688,325",0,"258,123,048,750",0.00
2023-08-01,109960,Aprogen H&G,0,"51,881,094",0,"71,699,671,908",0.00
2023-08-01,293780,Aptabio,0,"22,298,866",0,"242,611,662,080",0.00
2023-08-01,291650,Aptamer Sciences,0,"16,980,252",0,"64,864,562,640",0.00
2023-08-01,260660,Arlico,0,"15,327,021",0,"88,436,911,170",0.00
2023-08-01,096690,Aroot,0,"160,983,948",0,"62,461,771,824",0.00
2023-08-01,021080,Atinum Investment,"488,050","48,000,000","1,210,364,000","119,040,000,000",1.02
2023-08-01,067170,Autech,"32,311","15,391,605","155,900,575","74,264,494,125",0.21
2023-08-01,307870,B2En,0,"32,741,705",0,"110,339,545,850",0.00
2023-08-01,267790,BARREL,0,"7,888,500",0,"59,400,405,000",0.00
2023-08-01,318410,BBC,0,"5,555,243",0,"58,218,946,640",0.00
2023-08-01,146320,BCNC,0,"12,760,303",0,"232,875,529,750",0.00
2023-08-01,200780,BCWORLDPHARM,0,"8,892,384",0,"54,954,933,120",0.00
2023-08-01,148140,BDI,0,"43,208,667",0,"27,653,546,880",0.00
2023-08-01,406820,BEAUTYSKIN,0,"3,534,040",0,"80,046,006,000",0.00
2023-08-01,206400,BENO TNR,0,"29,941,768",0,"118,868,818,960",0.00
2023-08-01,148780,BFLYSOFT,0,"31,445,725",0,"33,961,383,000",0.00
2023-08-01,046310,BG T&A,"28,703","16,418,641","101,895,650","58,286,175,550",0.17
2023-08-01,126600,BGF Ecomaterials,"24,057","40,869,014","130,148,370","221,101,365,740",0.06
2023-08-01,382900,BHF,0,"8,761,000",0,"212,892,300,000",0.00
2023-08-01,083650,BHI,"32,895","26,000,000","242,436,150","191,620,000,000",0.13
2023-08-01,238200,BIFIDO,0,"8,180,000",0,"52,188,400,000",0.00
2023-08-01,251120,BIO-FD&C,0,"8,695,700",0,"127,218,091,000",0.00
2023-08-01,314930,BIODYNE,0,"6,178,695",0,"345,389,050,500",0.00
2023-08-01,208710,BIOLOG DEVICE,0,"47,340,925",0,"49,849,994,025",0.00
2023-08-01,064550,BIONEER,"1,279,601","25,810,291","57,518,064,950","1,160,172,580,450",4.96
2023-08-01,419540,BISTOS,0,"22,992,511",0,"58,630,903,050",0.00
2023-08-01,032850,BITComputer,"47,925","16,623,293","287,550,000","99,739,758,000",0.29
2023-08-01,050090,BK Holdings,0,"19,784,735",0,"26,709,392,250",0.00
2023-08-01,142760,BL,0,"31,448,597",0,"89,785,744,435",0.00
2023-08-01,044480,BLADE Ent,0,"34,091,942",0,"43,944,513,238",0.00
2023-08-01,065170,BLPT,0,"88,970,559",0,"55,606,599,375",0.00
2023-08-01,033560,BLUECOM,0,"17,100,000",0,"62,415,000,000",0.00
2023-08-01,086670,BMT,0,"9,125,174",0,"146,002,784,000",0.00
2023-08-01,256840,BNC,"749,964","67,912,443","2,658,622,380","240,749,610,435",1.10
2023-08-01,445360,BNK SPAC 1,0,"4,310,000",0,"8,943,250,000",0.00
2023-08-01,008470,BOOSTER,0,"8,404,800",0,"39,628,632,000",0.00
2023-08-01,250000,BORATR,0,"6,750,733",0,"92,822,578,750",0.00
2023-08-01,006910,BOSUNG POWER,"434,291","49,129,824","1,485,275,220","168,023,998,080",0.88
2023-08-01,288330,BRIDGE BIOTHERAPEUTICS,0,"20,061,690",0,"122,978,159,700",0.00
2023-08-01,064480,BRIDGETEC,"18,447","11,952,500","153,479,040","99,444,800,000",0.15
2023-08-01,066410,BUCKET STUDIO,0,"84,109,926",0,"96,978,744,678",0.00
2023-08-01,032980,BYON,"82,439","37,432,787","166,938,975","75,801,393,675",0.22
2023-08-01,018700,Barunson,0,"35,119,757",0,"65,638,825,833",0.00
2023-08-01,035620,Barunson E&A,0,"74,439,675",0,"52,479,970,875",0.00
2023-08-01,424760,Bellock,0,"17,450,002",0,"40,745,754,670",0.00
2023-08-01,053030,Binex,"389,276","31,761,048","3,939,473,120","321,421,805,760",1.23
2023-08-01,086820,"Bio Solution Co.,Ltd.",0,"8,143,426",0,"81,434,260,000",0.00
2023-08-01,199730,BioInfra,0,"4,796,867",0,"73,104,253,080",0.00
2023-08-01,099430,BioPlus,0,"57,930,864",0,"439,695,257,760",0.00
2023-08-01,038460,BioSmart,"51,940","20,243,611","162,052,800","63,160,066,320",0.26
2023-08-01,222160,Bioptro,0,"8,245,366",0,"59,943,810,820",0.00
2023-08-01,086040,Biotoxtech,"35,910","15,958,247","259,988,400","115,537,708,280",0.23
2023-08-01,357880,Bitnine,0,"10,443,956",0,"81,045,098,560",0.00
2023-08-01,093190,Bixolon,0,"19,238,905",0,"110,238,925,650",0.00
2023-08-01,369370,Blitzway,0,"42,492,942",0,"69,475,960,170",0.00
2023-08-01,225530,BoKwang Industry,0,"36,338,727",0,"211,854,778,410",0.00
